ID,Gender,Age,Occupation,EstimatedAnnualIncome,CreditCardDefault,AvgCreditCardSpending,CarOwnership,SpecificMerchantUsage,LateNightCardUsage,CreditApproval
1,Male,35,Employee,50000,No,1500,Yes,No,No,Approved
2,Female,28,SelfEmployed,42000,Yes,1000,No,Yes,Yes,Rejected
3,Male,45,Doctor,85000,No,3000,Yes,No,No,Approved
4,Female,32,Teacher,48000,No,1200,Yes,No,No,Approved
5,Male,50,Lawyer,90000,No,4000,Yes,No,No,Approved
6,Female,29,Freelancer,38000,Yes,800,No,Yes,Yes,Rejected
7,Male,38,Engineer,62000,No,1800,Yes,No,No,Approved
8,Female,41,CivilServant,55000,No,1400,Yes,No,No,Approved
9,Male,31,Student,25000,Yes,600,No,Yes,Yes,Rejected
10,Female,55,CEO,120000,No,6000,Yes,No,No,Approved
11,Male,42,Manager,70000,No,2000,Yes,No,No,Approved
12,Female,36,Nurse,52000,No,1300,Yes,No,No,Approved
13,Male,27,Salesperson,35000,Yes,900,No,Yes,Yes,Rejected
14,Female,48,Professor,80000,No,2500,Yes,No,No,Approved
15,Male,33,Accountant,58000,No,1600,Yes,No,No,Approved
16,Female,39,Designer,60000,No,1700,Yes,No,No,Approved
17,Male,52,Executive,95000,No,4500,Yes,No,No,Approved
18,Female,30,Journalist,40000,Yes,1100,No,Yes,No,Rejected
19,Male,44,Architect,75000,No,2200,Yes,No,No,Approved
20,Female,37,Pharmacist,68000,No,1900,Yes,No,No,Approved
21,Male,29,Waiter,28000,Yes,700,No,Yes,Yes,Rejected
22,Female,51,Consultant,88000,No,3500,Yes,No,No,Approved
23,Male,34,Programmer,65000,No,1800,Yes,No,No,Approved
24,Female,46,Dentist,92000,No,3800,Yes,No,No,Approved
25,Male,40,Analyst,72000,No,2100,Yes,No,No,Approved
26,Female,31,Artist,32000,Yes,850,No,Yes,Yes,Rejected
27,Male,53,Pilot,98000,No,4200,Yes,No,No,Approved
28,Female,35,HRManager,59000,No,1650,Yes,No,No,Approved
29,Male,47,Surgeon,110000,No,5000,Yes,No,No,Approved
30,Female,32,Researcher,54000,No,1450,Yes,No,No,Approved
31,Male,28,Bartender,30000,Yes,750,No,Yes,Yes,Rejected
32,Female,49,Psychologist,82000,No,2800,Yes,No,No,Approved
33,Male,36,Electrician,56000,No,1550,Yes,No,No,Approved
34,Female,43,Veterinarian,78000,No,2400,Yes,No,No,Approved
35,Male,30,Photographer,38000,Yes,950,No,Yes,No,Rejected
36,Female,54,Judge,115000,No,5500,Yes,No,No,Approved
37,Male,39,Chef,62000,No,1750,Yes,No,No,Approved
38,Female,33,SocialWorker,45000,No,1250,Yes,No,No,Approved
39,Male,48,Physicist,86000,No,3200,Yes,No,No,Approved
40,Female,29,Receptionist,32000,Yes,800,No,Yes,Yes,Rejected
41,Male,52,Businessman,100000,No,4800,Yes,No,No,Approved
42,Female,37,Librarian,50000,No,1400,Yes,No,No,Approved
43,Male,31,Mechanic,42000,Yes,1100,No,Yes,No,Rejected
44,Female,45,Nutritionist,70000,No,2000,Yes,No,No,Approved
45,Male,34,Firefighter,58000,No,1600,Yes,No,No,Approved
46,Female,50,Principal,88000,No,3400,Yes,No,No,Approved
47,Male,28,SecurityGuard,35000,Yes,900,No,Yes,Yes,Rejected
48,Female,41,Optometrist,76000,No,2300,Yes,No,No,Approved
49,Male,38,SoftwareEngineer,80000,No,2600,Yes,No,No,Approved
50,Female,32,Paralegal,48000,No,1300,Yes,No,No,Approved
51,Male,47,Dentist,95000,No,4000,Yes,No,No,Approved
52,Female,30,Cashier,28000,Yes,700,No,Yes,Yes,Rejected
53,Male,55,Professor,92000,No,3800,Yes,No,No,Approved
54,Female,36,MarketingManager,68000,No,1900,Yes,No,No,Approved
55,Male,29,Barista,30000,Yes,750,No,Yes,Yes,Rejected
56,Female,43,Psychologist,78000,No,2400,Yes,No,No,Approved
57,Male,33,SalesRepresentative,52000,No,1450,Yes,No,No,Approved
58,Female,49,Pharmacist,86000,No,3200,Yes,No,No,Approved
59,Male,31,Carpenter,40000,Yes,1000,No,Yes,No,Rejected
